Wave,state_code,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
10,MI,37 (6),7 (3),15 (4),19 (5),11 (4),3 (2),2 (2),43 (6),56 (6),72 (5),73 (5),48 (6),16 (4),5 (2),2 (1)
10,MN,39 (7),9 (4),28 (7),20 (6),8 (4),6 (3),1 (1),36 (7),49 (7),69 (7),73 (6),50 (7),13 (4),7 (4),4 (3)
10,MO,41 (5),8 (3),22 (5),22 (5),11 (3),5 (2),1 (1),43 (5),53 (6),67 (5),67 (5),50 (6),14 (4),4 (2),4 (2)
10,MS,43 (8),1 (1),16 (5),18 (6),9 (5),11 (5),0 (1),38 (8),51 (8),76 (6),75 (7),47 (8),20 (7),4 (2),2 (1)
10,MT,54 (8),7 (5),21 (7),24 (7),14 (5),9 (5),3 (3),36 (8),47 (8),69 (7),66 (7),51 (8),13 (5),8 (5),1 (1)
10,NC,40 (5),6 (3),19 (4),14 (3),12 (3),8 (4),2 (2),48 (5),56 (5),75 (5),72 (5),44 (5),13 (4),4 (2),1 (1)
10,ND,53 (9),7 (3),29 (8),26 (8),13 (6),9 (6),3 (3),33 (8),46 (9),68 (8),46 (9),60 (9),16 (7),10 (5),2 (2)
10,NE,42 (9),5 (3),21 (7),18 (6),13 (5),6 (5),1 (1),39 (9),50 (9),67 (8),68 (8),52 (9),12 (6),6 (3),2 (2)
10,NH,35 (6),6 (3),20 (5),16 (5),9 (3),3 (2),2 (2),43 (6),56 (6),72 (6),69 (6),48 (6),13 (4),3 (2),1 (1)
10,NJ,36 (5),4 (2),14 (3),14 (4),12 (3),4 (2),3 (2),51 (5),66 (5),79 (4),84 (4),39 (5),8 (3),4 (2),1 (1)
10,NM,39 (9),5 (3),18 (7),12 (5),17 (7),6 (3),3 (3),55 (9),60 (8),73 (8),79 (7),39 (8),9 (5),2 (1),2 (3)
10,NV,37 (7),10 (5),18 (6),13 (5),7 (3),2 (2),3 (2),45 (7),59 (7),74 (6),81 (6),47 (7),11 (4),4 (2),1 (1)
10,NY,36 (4),6 (2),17 (3),13 (3),12 (3),5 (2),11 (3),50 (4),63 (4),74 (4),78 (4),38 (4),10 (2),3 (2),2 (1)
10,OH,37 (4),5 (2),17 (4),15 (3),11 (3),4 (2),3 (1),43 (5),53 (5),72 (4),72 (4),51 (5),12 (3),5 (3),1 (1)
10,OK,41 (7),4 (3),17 (6),20 (6),9 (3),5 (3),1 (1),38 (7),49 (8),76 (6),67 (7),49 (7),13 (5),6 (4),2 (2)
10,OR,38 (6),5 (3),20 (5),19 (5),10 (4),3 (2),7 (4),44 (6),54 (7),68 (6),71 (6),51 (7),11 (4),5 (2),1 (1)
10,PA,37 (4),6 (2),16 (3),17 (4),9 (3),4 (2),3 (1),44 (5),54 (5),72 (4),74 (4),46 (5),13 (3),4 (2),2 (1)
10,RI,32 (7),9 (5),17 (6),17 (6),11 (4),6 (4),3 (3),50 (8),60 (8),69 (8),77 (7),47 (8),15 (6),4 (3),2 (2)
10,SC,35 (6),6 (3),13 (4),17 (5),11 (4),6 (3),1 (1),58 (7),59 (7),73 (6),74 (6),42 (7),10 (4),4 (2),2 (2)
10,SD,49 (8),4 (2),27 (7),26 (7),14 (6),12 (6),1 (1),27 (7),36 (7),59 (8),49 (8),64 (7),18 (6),12 (6),5 (4)
10,TN,43 (5),7 (3),16 (4),18 (4),12 (4),5 (2),1 (1),45 (5),56 (5),76 (5),70 (5),44 (5),13 (3),5 (2),2 (1)
10,TX,39 (4),7 (2),16 (3),16 (3),12 (2),7 (2),3 (1),53 (4),62 (4),78 (3),81 (3),43 (4),10 (2),4 (1),1 (1)
10,UT,47 (6),7 (3),26 (6),20 (5),15 (5),8 (4),2 (1),38 (6),46 (6),74 (5),75 (6),58 (6),13 (4),8 (3),3 (2)
10,VA,45 (5),7 (3),16 (4),16 (4),13 (3),5 (2),2 (1),49 (5),57 (5),71 (5),72 (5),46 (5),12 (3),6 (2),3 (2)
10,VT,39 (9),4 (3),14 (6),12 (7),20 (8),1 (1),3 (3),54 (10),62 (9),70 (9),82 (7),47 (10),8 (4),5 (5),0 (0)
10,WA,37 (5),6 (3),20 (5),13 (4),10 (3),2 (1),6 (3),49 (5),59 (5),70 (5),77 (4),41 (5),7 (2),2 (1),1 (1)
10,WI,40 (6),8 (3),17 (5),13 (4),14 (5),4 (2),2 (2),44 (6),54 (6),71 (5),65 (6),49 (6),13 (4),5 (2),2 (2)
10,WV,32 (7),1 (1),12 (5),11 (5),13 (5),7 (3),1 (1),47 (8),60 (8),74 (8),69 (8),42 (8),11 (5),4 (3),2 (2)
10,WY,38 (10),7 (5),30 (10),23 (8),11 (6),7 (5),1 (2),25 (9),37 (10),64 (10),45 (10),55 (10),24 (9),6 (4),2 (2)
11,National,40 (1),7 (0),17 (1),16 (1),14 (1),7 (0),3 (0),47 (1),57 (1),73 (1),76 (1),45 (1),11 (1),5 (0),2 (0)
11,AK,36 (16),2 (2),9 (7),14 (11),19 (14),3 (5),2 (4),43 (10),57 (10),72 (8),70 (9),40 (10),5 (3),5 (4),2 (3)
11,AL,40 (7),8 (5),22 (6),21 (6),16 (5),12 (5),1 (1),44 (7),54 (7),73 (7),77 (6),51 (7),15 (5),7 (5),1 (1)
11,AR,37 (10),3 (2),18 (8),12 (6),17 (8),7 (5),2 (4),45 (10),56 (10),74 (9),72 (9),52 (10),16 (8),4 (3),2 (2)
11,AZ,32 (7),7 (3),15 (5),13 (4),14 (6),6 (3),4 (3),46 (8),53 (8),78 (7),77 (7),39 (8),8 (4),6 (3),1 (1)
11,CA,42 (5),7 (3),14 (4),16 (4),14 (4),4 (2),2 (1),55 (5),59 (5),74 (4),79 (4),39 (5),9 (3),2 (1),1 (1)
11,CO,35 (9),8 (4),16 (7),15 (6),15 (7),6 (5),3 (5),44 (9),57 (9),69 (9),74 (7),39 (9),6 (3),11 (5),0 (0)
11,CT,44 (8),6 (4),15 (5),14 (5),14 (6),2 (1),4 (3),45 (8),59 (8),77 (6),82 (6),47 (8),11 (4),7 (4),2 (2)
11,DC,24 (11),11 (7),14 (8),10 (7),12 (9),8 (11),10 (7),58 (10),66 (10),74 (9),77 (9),36 (10),11 (8),1 (1),2 (2)
11,DE,35 (8),8 (4),13 (5),13 (6),17 (6),3 (2),3 (3),49 (9),59 (8),78 (7),84 (6),54 (9),14 (6),1 (1),2 (3)
11,FL,40 (5),6 (2),15 (4),16 (4),12 (3),5 (2),4 (2),50 (5),60 (5),76 (4),80 (4),42 (5),11 (3),4 (2),2 (1)
11,GA,42 (6),4 (2),18 (4),21 (5),18 (5),7 (3),3 (2),52 (6),60 (6),80 (4),77 (5),43 (6),11 (4),5 (2),2 (1)
11,HI,34 (12),11 (11),18 (9),9 (7),16 (9),9 (11),8 (10),61 (8),69 (7),80 (7),90 (5),40 (8),10 (5),3 (2),1 (1)
11,IA,46 (8),5 (4),20 (6),14 (5),13 (6),9 (5),1 (2),40 (8),48 (8),67 (8),61 (8),59 (8),12 (5),8 (4),3 (3)
11,ID,44 (8),6 (3),19 (6),15 (6),17 (7),6 (4),1 (2),37 (8),42 (8),68 (8),62 (8),52 (8),10 (4),6 (4),3 (2)
11,IL,43 (6),7 (2),15 (4),17 (4),15 (4),6 (2),4 (2),49 (6),59 (6),74 (5),78 (5),39 (5),12 (4),5 (2),1 (1)
11,IN,44 (6),7 (3),19 (5),21 (5),18 (5),11 (4),1 (1),39 (6),53 (6),71 (6),71 (6),51 (6),16 (5),7 (3),4 (2)
11,KS,46 (8),6 (3),18 (5),19 (6),13 (5),4 (2),0 (0),34 (7),51 (8),69 (8),68 (8),58 (8),10 (4),7 (3),3 (3)
11,KY,44 (6),3 (2),18 (5),12 (4),16 (5),8 (3),2 (2),48 (6),54 (6),72 (6),69 (6),41 (6),9 (4),7 (4),1 (1)
11,LA,51 (9),5 (3),21 (7),12 (5),14 (6),9 (5),1 (1),42 (9),59 (9),75 (8),73 (8),39 (8),12 (6),3 (3),3 (2)
11,MA,38 (6),6 (3),21 (5),14 (4),16 (5),4 (3),5 (3),50 (7),57 (6),72 (6),79 (5),45 (6),8 (4),4 (2),2 (2)
11,MD,41 (7),6 (3),16 (4),13 (4),13 (5),7 (4),3 (2),56 (7),69 (6),79 (6),88 (4),41 (6),11 (4),3 (2),1 (1)
11,ME,39 (10),5 (5),17 (8),15 (8),11 (6),1 (1),3 (4),44 (8),61 (7),65 (7),73 (7),44 (7),6 (3),4 (2),1 (1)
11,MI,41 (6),6 (3),23 (5),19 (5),13 (4),9 (4),2 (2),37 (6),50 (6),68 (6),71 (6),46 (6),10 (4),6 (3),3 (3)
11,MN,36 (7),9 (5),22 (6),17 (5),12 (4),6 (3),4 (3),44 (7),56 (7),67 (7),74 (6),49 (7),10 (4),4 (2),1 (1)
11,MO,44 (6),8 (3),17 (4),18 (4),12 (4),7 (2),2 (2),44 (6),51 (6),71 (5),69 (5),49 (6),12 (3),5 (3),2 (1)
11,MS,38 (7),3 (2),20 (5),18 (5),17 (5),9 (4),1 (3),43 (8),56 (8),73 (7),67 (8),53 (8),16 (6),9 (5),1 (1)
11,MT,37 (14),3 (4),9 (6),15 (10),18 (11),11 (11),1 (1),39 (8),46 (8),71 (7),64 (8),55 (8),17 (7),3 (2),2 (2)
11,NC,35 (5),6 (2),20 (5),15 (4),15 (4),8 (3),2 (2),50 (6),59 (6),75 (5),72 (5),40 (5),11 (4),5 (2),2 (1)
11,ND,45 (21),1 (1),15 (13),29 (21),5 (6),3 (4),8 (12),36 (9),48 (9),68 (8),61 (9),58 (9),18 (7),6 (4),2 (1)
11,NE,45 (7),9 (4),16 (5),17 (5),11 (4),9 (5),1 (1),33 (7),43 (7),62 (7),64 (7),52 (7),17 (5),5 (3),3 (3)
11,NH,39 (7),9 (5),16 (5),17 (5),12 (5),2 (3),2 (2),47 (7),58 (7),70 (7),69 (7),47 (7),8 (4),10 (5),1 (1)
11,NJ,41 (6),10 (4),14 (4),16 (5),13 (4),5 (3),5 (3),51 (6),66 (5),78 (4),83 (4),42 (6),11 (4),4 (2),1 (1)
11,NM,36 (9),8 (5),15 (6),21 (9),16 (7),2 (2),2 (2),44 (9),52 (9),71 (9),74 (8),47 (9),12 (6),2 (2),3 (3)
11,NV,37 (8),9 (4),20 (7),25 (7),13 (6),3 (2),5 (3),48 (8),54 (8),74 (7),79 (7),43 (8),10 (5),3 (2),4 (3)
11,NY,36 (5),7 (2),16 (4),13 (3),16 (4),7 (2),11 (3),50 (5),62 (5),78 (4),81 (4),43 (5),10 (3),2 (1),2 (2)
11,OH,41 (5),7 (3),16 (4),16 (4),14 (3),7 (3),2 (1),44 (5),55 (5),76 (4),74 (5),47 (5),13 (3),7 (3),2 (1)
11,OK,43 (8),4 (3),17 (6),20 (7),13 (5),12 (6),2 (2),42 (8),52 (8),74 (7),70 (7),46 (8),13 (6),4 (3),1 (1)
11,OR,37 (7),5 (3),20 (6),18 (5),13 (5),5 (3),8 (4),44 (7),57 (7),67 (7),78 (5),48 (7),11 (5),2 (2),1 (1)
11,PA,35 (4),6 (2),16 (3),14 (3),12 (3),6 (2),3 (2),45 (5),55 (5),71 (4),73 (4),43 (4),11 (3),4 (1),2 (2)
11,RI,41 (13),7 (7),14 (8),17 (11),14 (9),6 (5),0 (0),53 (9),56 (9),73 (8),85 (7),43 (9),14 (6),2 (1),1 (1)
11,SC,47 (6),7 (3),18 (4),19 (5),13 (4),8 (3),3 (2),46 (6),52 (6),71 (5),71 (5),47 (6),12 (3),6 (3),3 (2)
11,SD,31 (11),3 (3),24 (11),24 (11),13 (8),8 (7),0 (0),35 (8),47 (8),65 (8),55 (8),57 (8),14 (5),9 (4),2 (1)
11,TN,44 (6),7 (3),19 (5),18 (4),13 (4),9 (3),1 (1),47 (6),55 (6),77 (5),71 (5),45 (6),12 (4),4 (2),3 (2)
11,TX,46 (5),8 (2),18 (4),17 (4),15 (4),7 (3),4 (2),53 (5),58 (5),75 (4),77 (4),45 (5),11 (3),4 (2),1 (1)
11,UT,45 (9),5 (4),22 (8),23 (8),13 (7),9 (6),3 (3),31 (8),46 (9),71 (9),67 (9),52 (9),11 (6),9 (6),3 (4)
11,VA,40 (6),7 (3),16 (4),15 (4),12 (4),7 (3),2 (1),48 (6),59 (6),76 (5),80 (5),40 (6),10 (4),3 (2),3 (2)
11,VT,45 (16),5 (5),13 (9),14 (11),11 (9),5 (7),5 (5),53 (8),68 (7),69 (8),80 (7),48 (8),11 (5),4 (3),1 (1)
11,WA,40 (6),7 (3),21 (5),15 (5),14 (4),4 (3),7 (3),42 (6),56 (6),68 (6),79 (5),45 (6),11 (4),5 (3),4 (3)
11,WI,43 (6),7 (3),14 (4),16 (4),12 (3),6 (3),3 (2),43 (6),55 (6),58 (6),68 (6),45 (6),7 (3),6 (3),3 (2)
11,WV,38 (7),5 (2),22 (6),13 (5),11 (4),7 (4),1 (1),44 (7),58 (7),73 (6),66 (7),44 (7),9 (4),7 (3),2 (2)
11,WY,38 (17),2 (3),16 (14),26 (17),23 (16),4 (5),2 (3),29 (9),41 (10),62 (9),46 (10),54 (10),11 (5),12 (7),2 (2)
12,National,36 (1),8 (1),17 (1),16 (1),12 (1),6 (1),3 (0),48 (1),57 (1),71 (1),75 (1),44 (1),11 (1),5 (0),2 (0)
12,AK,39 (14),13 (8),38 (15),31 (14),21 (12),5 (5),3 (4),37 (7),44 (8),60 (8),66 (8),53 (8),20 (7),6 (4),3 (3)
12,AL,30 (8),14 (7),20 (7),22 (7),16 (6),12 (6),1 (1),49 (9),53 (9),74 (7),72 (8),44 (8),12 (5),5 (3),3 (4)
12,AR,39 (8),10 (5),20 (8),15 (6),14 (5),11 (6),2 (2),42 (8),46 (9),75 (7),69 (8),56 (9),10 (6),6 (4),2 (1)
12,AZ,34 (9),7 (4),18 (8),22 (9),18 (9),8 (5),6 (6),45 (10),56 (10),68 (9),75 (8),44 (10),8 (3),5 (4),1 (1)
12,CA,37 (7),6 (3),20 (6),18 (6),9 (4),6 (4),4 (2),50 (7),57 (7),66 (7),73 (7),37 (7),9 (5),5 (3),1 (1)
12,CO,38 (7),10 (4),18 (5),14 (5),13 (5),5 (3),5 (4),43 (6),53 (7),67 (6),72 (6),44 (7),11 (4),3 (2),3 (2)
12,CT,45 (7),5 (3),15 (5),15 (5),15 (5),3 (2),3 (3),51 (7),64 (7),73 (6),81 (6),43 (7),10 (4),5 (2),2 (2)
12,DC,28 (13),11 (7),19 (13),20 (12),15 (10),6 (7),8 (7),59 (7),69 (7),77 (6),85 (6),44 (8),6 (3),5 (4),0 (0)
12,DE,35 (7),8 (4),18 (7),16 (6),13 (6),2 (2),1 (1),60 (8),65 (8),69 (8),79 (7),42 (8),12 (5),6 (3),1 (2)
12,FL,42 (8),12 (5),16 (5),16 (5),18 (7),4 (2),2 (1),47 (7),55 (7),74 (6),78 (7),46 (7),10 (3),4 (2),3 (2)
12,GA,33 (7),4 (2),13 (5),14 (5),8 (3),5 (3),1 (2),49 (8),58 (8),69 (8),69 (8),38 (8),4 (2),5 (3),2 (1)
12,HI,43 (12),12 (10),19 (9),15 (9),15 (10),8 (8),9 (7),55 (8),64 (7),64 (8),87 (5),41 (7),14 (5),4 (3),2 (2)
12,IA,41 (7),6 (3),20 (6),18 (5),12 (5),8 (4),2 (2),42 (7),54 (7),70 (6),65 (7),45 (7),8 (4),4 (3),2 (2)
12,ID,47 (9),10 (4),21 (7),18 (6),9 (5),7 (4),1 (1),32 (8),43 (8),65 (8),62 (8),50 (8),15 (6),5 (3),3 (2)
12,IL,31 (6),6 (3),23 (6),11 (4),14 (5),8 (4),8 (4),56 (7),61 (7),71 (6),78 (6),42 (7),12 (4),5 (3),1 (1)
12,IN,36 (8),7 (5),18 (7),25 (8),10 (4),16 (7),0 (0),42 (8),46 (9),67 (9),68 (8),53 (9),12 (5),2 (2),7 (5)
12,KS,40 (9),8 (5),16 (7),20 (7),6 (3),11 (5),3 (5),44 (9),50 (9),71 (8),71 (8),53 (9),15 (7),6 (4),3 (3)
12,KY,32 (7),5 (4),12 (5),13 (5),12 (4),3 (2),1 (1),43 (7),57 (7),71 (7),72 (7),36 (7),11 (5),3 (2),1 (1)
12,LA,37 (7),7 (3),24 (6),15 (4),12 (5),10 (4),1 (1),47 (7),56 (7),73 (6),70 (6),38 (6),10 (3),5 (3),2 (2)
12,MA,36 (8),10 (5),14 (5),16 (6),9 (3),3 (2),5 (3),51 (8),66 (7),74 (7),78 (6),41 (8),7 (4),6 (4),2 (1)
12,MD,35 (7),10 (4),15 (6),11 (4),10 (4),5 (3),6 (5),50 (8),64 (7),75 (6),82 (6),37 (7),9 (4),2 (2),1 (1)
12,ME,32 (8),6 (5),19 (7),14 (7),15 (7),2 (2),1 (2),42 (5),54 (6),67 (5),72 (5),51 (6),13 (4),7 (3),2 (2)
12,MI,43 (8),9 (6),17 (6),17 (6),12 (6),7 (4),2 (3),31 (7),40 (8),61 (8),64 (9),51 (8),10 (4),5 (4),3 (3)
12,MN,40 (6),6 (3),18 (5),15 (4),9 (4),6 (3),1 (1),39 (6),49 (6),64 (6),69 (6),48 (6),14 (4),6 (3),2 (1)
12,MO,46 (7),8 (4),23 (6),18 (5),11 (5),7 (4),1 (2),39 (7),55 (7),70 (7),66 (7),52 (7),13 (5),8 (4),1 (1)
12,MS,41 (7),7 (4),21 (6),20 (6),12 (5),6 (3),0 (0),42 (8),53 (8),70 (7),67 (7),46 (8),11 (5),4 (2),2 (1)
12,MT,38 (10),6 (5),16 (7),11 (7),13 (7),3 (2),0 (0),45 (7),51 (7),64 (6),71 (6),45 (7),13 (4),5 (2),2 (2)
12,NC,31 (7),4 (3),16 (6),14 (5),8 (4),4 (2),4 (3),50 (8),58 (8),78 (6),74 (7),37 (8),7 (3),4 (3),1 (1)
12,ND,45 (21),18 (18),24 (21),25 (21),4 (7),6 (8),0 (0),42 (8),49 (9),58 (8),63 (8),55 (9),18 (7),8 (5),1 (1)
12,NE,42 (8),7 (4),17 (6),17 (6),7 (4),7 (5),2 (3),41 (8),47 (8),65 (8),67 (8),43 (8),12 (5),6 (4),2 (2)
12,NH,44 (8),10 (5),24 (7),17 (5),13 (6),2 (2),1 (3),43 (7),61 (7),72 (7),82 (6),49 (7),11 (5),6 (4),0 (1)
12,NJ,31 (9),5 (3),14 (6),10 (5),9 (4),8 (6),8 (7),48 (10),63 (9),74 (8),74 (9),37 (9),11 (6),5 (4),1 (1)
12,NM,30 (8),5 (4),18 (7),14 (6),7 (4),7 (5),0 (0),46 (9),56 (8),73 (8),76 (7),36 (8),5 (3),5 (4),2 (2)
12,NV,32 (8),6 (4),16 (6),22 (7),13 (6),4 (3),8 (5),46 (8),56 (8),82 (5),76 (7),44 (8),13 (5),4 (3),3 (2)
12,NY,35 (6),10 (4),17 (6),12 (4),13 (5),8 (4),11 (5),53 (7),63 (7),77 (6),82 (6),42 (7),11 (5),4 (2),1 (1)
12,OH,34 (7),6 (3),14 (4),17 (5),13 (5),7 (3),2 (2),50 (7),60 (7),74 (6),77 (6),46 (7),12 (4),5 (3),1 (1)
12,OK,41 (8),9 (5),23 (7),24 (7),10 (4),7 (4),1 (1),37 (7),45 (7),63 (8),68 (7),52 (8),13 (5),6 (4),4 (4)
12,OR,37 (8),12 (7),27 (8),14 (6),13 (5),4 (2),4 (3),48 (8),58 (8),66 (8),74 (7),41 (8),12 (6),2 (1),0 (1)
12,PA,35 (7),3 (2),17 (6),13 (5),13 (5),6 (3),1 (1),46 (7),61 (7),68 (7),72 (7),43 (7),9 (4),5 (3),1 (1)
12,RI,34 (12),8 (7),17 (8),12 (7),15 (11),3 (4),2 (3),48 (7),62 (7),73 (6),82 (6),45 (7),12 (4),4 (3),1 (1)
12,SC,36 (7),7 (4),23 (6),19 (5),15 (5),9 (4),3 (3),49 (7),57 (7),71 (6),74 (6),44 (7),10 (4),7 (3),1 (1)
12,SD,39 (13),6 (8),9 (6),8 (5),7 (6),5 (5),0 (0),29 (7),43 (7),60 (7),55 (7),56 (7),14 (6),8 (4),3 (2)
12,TN,41 (9),7 (5),21 (7),15 (7),10 (5),7 (4),1 (1),41 (9),51 (9),75 (8),73 (8),46 (9),14 (7),1 (1),2 (2)
12,TX,38 (6),9 (4),15 (5),15 (4),14 (4),11 (4),3 (2),48 (7),59 (7),75 (5),80 (5),44 (7),13 (5),5 (2),1 (1)
12,UT,44 (7),10 (4),22 (5),18 (5),13 (5),10 (4),2 (2),42 (7),49 (7),66 (7),71 (6),46 (7),10 (3),5 (3),2 (2)
12,VA,35 (8),9 (5),14 (5),23 (7),9 (4),4 (3),3 (3),50 (8),57 (8),66 (8),75 (7),36 (8),10 (4),6 (4),2 (3)
12,VT,38 (16),3 (5),8 (13),2 (3),8 (9),1 (2),0 (1),44 (9),53 (9),63 (9),82 (8),45 (9),12 (6),7 (4),1 (1)
12,WA,36 (9),6 (4),19 (7),16 (6),11 (5),4 (3),10 (6),45 (9),57 (9),68 (8),80 (6),45 (9),12 (6),1 (1),2 (2)
12,WI,45 (8),4 (2),12 (5),15 (5),9 (4),4 (3),3 (3),46 (8),53 (8),62 (8),71 (7),47 (8),10 (5),8 (5),1 (1)
12,WV,33 (9),2 (3),14 (7),16 (10),10 (8),6 (6),0 (0),45 (7),58 (7),71 (7),72 (7),43 (7),8 (3),5 (2),2 (2)
12,WY,39 (16),14 (10),22 (13),34 (17),17 (14),11 (17),4 (7),34 (9),43 (10),54 (10),50 (10),64 (9),16 (7),7 (6),3 (4)
13,National,36 (1),8 (0),16 (1),16 (1),13 (1),6 (0),4 (0),49 (1),59 (1),71 (1),78 (1),43 (1),10 (0),4 (0),2 (0)
13,AK,39 (12),5 (4),18 (10),6 (5),12 (7),6 (4),3 (4),47 (7),51 (7),64 (7),71 (6),44 (7),11 (4),4 (2),3 (2)
13,AL,39 (6),8 (3),19 (5),19 (5),17 (5),8 (3),2 (1),42 (6),49 (6),70 (6),77 (5),47 (6),11 (4),3 (2),3 (2)
13,AR,44 (6),7 (3),21 (5),13 (4),16 (4),9 (4),1 (1),43 (6),51 (6),65 (6),71 (6),47 (6),9 (4),6 (3),3 (3)
13,AZ,36 (6),10 (4),19 (5),18 (4),11 (4),4 (2),7 (4),49 (6),53 (6),69 (5),76 (5),37 (6),12 (4),4 (2),2 (2)
13,CA,28 (4),5 (2),16 (4),15 (4),11 (3),3 (1),5 (3),55 (5),63 (5),70 (5),78 (4),35 (5),8 (3),3 (2),2 (1)
13,CO,37 (5),11 (4),16 (4),19 (5),12 (4),7 (3),3 (2),47 (5),51 (5),65 (5),74 (5),39 (5),10 (3),3 (2),2 (2)
13,CT,38 (6),6 (3),17 (6),10 (3),13 (5),5 (3),2 (1),48 (7),62 (7),74 (6),86 (5),43 (6),11 (4),5 (3),1 (1)
13,DC,30 (9),10 (5),16 (6),13 (6),8 (5),6 (5),15 (7),61 (5),68 (5),75 (5),90 (3),36 (5),9 (3),2 (2),1 (1)
13,DE,34 (7),8 (4),14 (6),14 (5),10 (4),4 (3),4 (3),47 (6),63 (6),73 (5),85 (4),44 (6),11 (3),3 (2),1 (2)
13,FL,38 (4),8 (2),17 (4),18 (4),15 (3),6 (2),5 (2),48 (5),56 (5),71 (4),78 (4),43 (5),9 (2),3 (1),3 (1)
13,GA,38 (5),8 (2),18 (4),18 (4),14 (4),7 (2),3 (2),51 (5),56 (5),73 (5),72 (5),42 (5),10 (3),4 (2),1 (1)
13,HI,43 (10),7 (6),17 (7),14 (6),15 (7),4 (4),7 (7),57 (7),64 (7),75 (7),88 (5),38 (7),11 (5),4 (2),1 (1)
13,IA,43 (5),5 (3),15 (4),14 (4),11 (4),7 (3),2 (1),42 (5),53 (5),64 (5),66 (5),48 (5),10 (3),5 (2),2 (1)
13,ID,40 (6),5 (2),26 (6),16 (5),16 (5),6 (3),4 (3),40 (5),49 (5),67 (5),67 (5),48 (5),10 (3),5 (2),2 (1)
13,IL,38 (5),6 (2),18 (4),16 (4),14 (3),4 (2),4 (2),50 (5),61 (5),67 (5),74 (5),39 (5),11 (3),2 (1),1 (1)
13,IN,44 (6),6 (3),15 (4),21 (5),11 (3),4 (2),2 (2),41 (6),51 (6),73 (5),73 (5),46 (6),16 (4),3 (2),2 (1)
13,KS,41 (6),7 (3),19 (5),18 (5),13 (5),4 (2),2 (2),49 (6),53 (6),69 (6),76 (5),49 (6),13 (4),6 (3),2 (2)
13,KY,30 (5),5 (2),17 (4),14 (3),11 (3),6 (3),2 (2),51 (5),64 (5),73 (5),75 (5),38 (5),7 (2),4 (2),1 (1)
13,LA,35 (5),8 (3),21 (5),16 (4),19 (5),8 (3),4 (3),46 (6),52 (6),66 (6),69 (5),44 (6),10 (4),5 (3),1 (1)
13,MA,35 (5),8 (3),18 (4),11 (3),14 (4),5 (2),5 (2),50 (6),65 (5),72 (5),83 (4),41 (6),6 (3),4 (2),1 (1)
13,MD,36 (6),8 (3),16 (5),13 (4),15 (5),5 (2),6 (3),57 (6),65 (6),73 (6),83 (4),37 (6),7 (3),2 (2),1 (1)
13,ME,31 (6),3 (2),19 (5),12 (5),10 (4),1 (1),1 (1),49 (5),59 (4),68 (4),78 (4),41 (4),8 (2),3 (2),2 (1)
13,MI,34 (4),7 (3),13 (3),15 (3),14 (3),6 (2),2 (1),51 (5),59 (5),70 (4),75 (4),42 (5),8 (2),4 (2),1 (1)
13,MN,39 (5),7 (2),14 (3),17 (4),11 (3),4 (2),1 (1),49 (5),61 (5),69 (5),78 (4),44 (5),9 (3),4 (2),2 (1)
13,MO,37 (5),6 (2),20 (4),16 (4),10 (3),7 (3),2 (1),43 (5),54 (5),70 (5),72 (5),45 (5),9 (3),3 (2),1 (1)
13,MS,42 (6),6 (3),20 (5),17 (5),17 (5),10 (4),1 (1),47 (7),56 (7),72 (6),79 (5),48 (7),14 (4),4 (1),3 (3)
13,MT,34 (9),7 (5),24 (9),21 (8),12 (6),5 (5),2 (2),40 (5),48 (6),69 (5),71 (5),49 (6),13 (4),4 (2),2 (2)
13,NC,36 (5),7 (2),18 (4),19 (4),16 (4),7 (3),2 (2),49 (5),57 (5),70 (5),77 (4),43 (5),11 (3),4 (2),1 (1)
13,ND,37 (10),7 (4),15 (7),18 (8),13 (7),6 (5),1 (2),43 (6),53 (6),65 (6),67 (6),47 (6),15 (4),5 (3),2 (1)
13,NE,42 (6),6 (2),12 (4),16 (4),11 (4),4 (2),1 (1),47 (6),59 (6),65 (6),73 (5),45 (6),13 (4),4 (2),1 (1)
13,NH,37 (5),7 (3),14 (4),19 (4),12 (4),3 (2),1 (1),45 (5),57 (5),66 (5),80 (5),43 (5),13 (4),3 (2),1 (1)
13,NJ,37 (6),11 (4),21 (5),14 (4),16 (5),6 (3),5 (2),49 (6),60 (6),77 (5),81 (5),42 (6),10 (3),2 (1),1 (1)
13,NM,35 (7),3 (2),15 (6),10 (5),8 (3),3 (2),1 (1),55 (7),59 (7),72 (6),79 (6),38 (7),8 (4),4 (4),1 (1)
13,NV,33 (6),10 (4),14 (4),15 (5),11 (4),3 (2),4 (2),51 (6),58 (6),71 (6),81 (5),37 (6),7 (2),5 (3),2 (1)
13,NY,34 (4),8 (3),16 (3),15 (3),14 (3),7 (2),10 (2),52 (5),60 (5),75 (4),84 (3),40 (4),12 (3),4 (2),1 (1)
